candle_num,timestamp,slug,title,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,pnl,pnl_pct,cumulative_pnl,balance,win_rate,decision_btc_price,decision_delta
73,2026-02-23T07:05:01.121402+00:00,btc-updown-5m-1771830000,"Bitcoin Up or Down - February 23, 2:00AM-2:05AM ET",65757.32,65839.92,82.60,UP,BUY_UP,UP,0.5500,5.00,True,4.0909,81.82,19.2185,29.2185,60.6,65766.23,8.91
74,2026-02-23T07:15:01.129142+00:00,btc-updown-5m-1771830600,"Bitcoin Up or Down - February 23, 2:10AM-2:15AM ET",65750.00,65790.76,40.76,UP,SKIP_EXPENSIVE,,0.6100,0.00,False,0.0000,0.00,19.2185,29.2185,60.6,65724.84,-25.16
75,2026-02-23T07:25:01.134864+00:00,btc-updown-5m-1771831200,"Bitcoin Up or Down - February 23, 2:20AM-2:25AM ET",65781.01,65729.69,-51.32,DOWN,BUY_DOWN,DOWN,0.5700,5.00,True,3.7719,75.44,22.9905,32.9905,61.8,65780.83,-0.18
76,2026-02-23T07:35:01.142089+00:00,btc-updown-5m-1771831800,"Bitcoin Up or Down - February 23, 2:30AM-2:35AM ET",65689.66,65790.22,100.56,UP,BUY_DOWN,DOWN,0.5500,5.00,False,-5.0000,-100.00,17.9905,27.9905,60.0,65689.65,-0.01
77,2026-02-23T07:45:01.120511+00:00,btc-updown-5m-1771832400,"Bitcoin Up or Down - February 23, 2:40AM-2:45AM ET",65944.01,65949.06,5.05,UP,SKIP_EXPENSIVE,,0.7300,0.00,False,0.0000,0.00,17.9905,27.9905,60.0,66002.25,58.24
78,2026-02-23T07:55:01.140332+00:00,btc-updown-5m-1771833000,"Bitcoin Up or Down - February 23, 2:50AM-2:55AM ET",65924.22,65947.52,23.30,UP,BUY_UP,UP,0.5100,5.00,True,4.8039,96.08,22.7944,32.7944,61.1,65926.03,1.81
79,2026-02-23T08:05:01.140025+00:00,btc-updown-5m-1771833600,"Bitcoin Up or Down - February 23, 3:00AM-3:05AM ET",65958.94,65816.08,-142.86,DOWN,SKIP_EXPENSIVE,,0.7000,0.00,False,0.0000,0.00,22.7944,32.7944,61.1,65929.27,-29.67
80,2026-02-23T08:15:01.132552+00:00,btc-updown-5m-1771834200,"Bitcoin Up or Down - February 23, 3:10AM-3:15AM ET",65726.90,65846.03,119.13,UP,SKIP_EXPENSIVE,,0.6500,0.00,False,0.0000,0.00,22.7944,32.7944,61.1,65753.85,26.95
81,2026-02-23T08:25:01.134037+00:00,btc-updown-5m-1771834800,"Bitcoin Up or Down - February 23, 3:20AM-3:25AM ET",65759.12,65649.89,-109.23,DOWN,SKIP_EXPENSIVE,,0.6700,0.00,False,0.0000,0.00,22.7944,32.7944,61.1,65727.74,-31.38
82,2026-02-23T08:35:01.121629+00:00,btc-updown-5m-1771835400,"Bitcoin Up or Down - February 23, 3:30AM-3:35AM ET",65682.68,65660.06,-22.62,DOWN,BUY_UP,UP,0.5100,5.00,False,-5.0000,-100.00,17.7944,27.7944,59.5,65686.09,3.41
