candle_num,timestamp,slug,title,candle_start,candle_end,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,pnl,pnl_pct,cumulative_pnl,balance,win_rate
159,2026-02-20T07:55:00.460183+00:00,btc-updown-5m-1771573800,"Bitcoin Up or Down - February 20, 2:50AM-2:55AM ET",07:50:00 UTC,07:55:00 UTC,67881.60,67889.40,7.80,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
160,2026-02-20T08:05:00.327437+00:00,btc-updown-5m-1771574400,"Bitcoin Up or Down - February 20, 3:00AM-3:05AM ET",08:00:00 UTC,08:05:00 UTC,67825.91,67865.49,39.58,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
161,2026-02-20T08:15:00.229651+00:00,btc-updown-5m-1771575000,"Bitcoin Up or Down - February 20, 3:10AM-3:15AM ET",08:10:00 UTC,08:15:00 UTC,67840.13,67869.99,29.86,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
162,2026-02-20T08:25:00.131425+00:00,btc-updown-5m-1771575600,"Bitcoin Up or Down - February 20, 3:20AM-3:25AM ET",08:20:00 UTC,08:25:00 UTC,67907.02,67900.73,-6.29,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
163,2026-02-20T08:35:00.169060+00:00,btc-updown-5m-1771576200,"Bitcoin Up or Down - February 20, 3:30AM-3:35AM ET",08:30:00 UTC,08:35:00 UTC,67872.51,67756.08,-116.43,DOWN,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
164,2026-02-20T08:45:00.070394+00:00,btc-updown-5m-1771576800,"Bitcoin Up or Down - February 20, 3:40AM-3:45AM ET",08:40:00 UTC,08:45:00 UTC,67808.98,67792.86,-16.12,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
165,2026-02-20T08:55:00.089352+00:00,btc-updown-5m-1771577400,"Bitcoin Up or Down - February 20, 3:50AM-3:55AM ET",08:50:00 UTC,08:55:00 UTC,67802.01,67896.44,94.43,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
166,2026-02-20T09:05:00.002475+00:00,btc-updown-5m-1771578000,"Bitcoin Up or Down - February 20, 4:00AM-4:05AM ET",09:00:00 UTC,09:05:00 UTC,67879.99,68181.30,301.31,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
167,2026-02-20T09:15:00.884066+00:00,btc-updown-5m-1771578600,"Bitcoin Up or Down - February 20, 4:10AM-4:15AM ET",09:10:00 UTC,09:15:00 UTC,68132.45,68132.02,-0.43,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
168,2026-02-20T09:25:00.858525+00:00,btc-updown-5m-1771579200,"Bitcoin Up or Down - February 20, 4:20AM-4:25AM ET",09:20:00 UTC,09:25:00 UTC,68110.80,68151.83,41.03,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
169,2026-02-20T09:35:00.951017+00:00,btc-updown-5m-1771579800,"Bitcoin Up or Down - February 20, 4:30AM-4:35AM ET",09:30:00 UTC,09:35:00 UTC,68200.60,68149.99,-50.61,DOWN,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
170,2026-02-20T09:45:00.937697+00:00,btc-updown-5m-1771580400,"Bitcoin Up or Down - February 20, 4:40AM-4:45AM ET",09:40:00 UTC,09:45:00 UTC,68153.92,68135.42,-18.50,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
171,2026-02-20T09:55:00.912172+00:00,btc-updown-5m-1771581000,"Bitcoin Up or Down - February 20, 4:50AM-4:55AM ET",09:50:00 UTC,09:55:00 UTC,68146.92,68186.30,39.38,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
172,2026-02-20T10:05:00.902994+00:00,btc-updown-5m-1771581600,"Bitcoin Up or Down - February 20, 5:00AM-5:05AM ET",10:00:00 UTC,10:05:00 UTC,68218.86,68189.71,-29.15,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
173,2026-02-20T10:15:00.899547+00:00,btc-updown-5m-1771582200,"Bitcoin Up or Down - February 20, 5:10AM-5:15AM ET",10:10:00 UTC,10:15:00 UTC,68222.28,68186.00,-36.28,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
174,2026-02-20T10:25:01.001057+00:00,btc-updown-5m-1771582800,"Bitcoin Up or Down - February 20, 5:20AM-5:25AM ET",10:20:00 UTC,10:25:00 UTC,68189.67,68136.82,-52.85,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
175,2026-02-20T10:35:00.620098+00:00,btc-updown-5m-1771583400,"Bitcoin Up or Down - February 20, 5:30AM-5:35AM ET",10:30:00 UTC,10:35:00 UTC,68263.00,68228.01,-34.99,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
176,2026-02-20T10:45:00.703981+00:00,btc-updown-5m-1771584000,"Bitcoin Up or Down - February 20, 5:40AM-5:45AM ET",10:40:00 UTC,10:45:00 UTC,68217.04,68162.35,-54.69,DOWN,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
177,2026-02-20T10:55:00.710005+00:00,btc-updown-5m-1771584600,"Bitcoin Up or Down - February 20, 5:50AM-5:55AM ET",10:50:00 UTC,10:55:00 UTC,68050.64,67992.77,-57.87,DOWN,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
178,2026-02-20T11:05:00.660778+00:00,btc-updown-5m-1771585200,"Bitcoin Up or Down - February 20, 6:00AM-6:05AM ET",11:00:00 UTC,11:05:00 UTC,67948.99,67920.26,-28.73,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
179,2026-02-20T11:15:00.673348+00:00,btc-updown-5m-1771585800,"Bitcoin Up or Down - February 20, 6:10AM-6:15AM ET",11:10:00 UTC,11:15:00 UTC,67957.41,67870.00,-87.41,DOWN,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
180,2026-02-20T11:25:00.611736+00:00,btc-updown-5m-1771586400,"Bitcoin Up or Down - February 20, 6:20AM-6:25AM ET",11:20:00 UTC,11:25:00 UTC,67830.01,67813.30,-16.71,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
181,2026-02-20T11:35:00.614196+00:00,btc-updown-5m-1771587000,"Bitcoin Up or Down - February 20, 6:30AM-6:35AM ET",11:30:00 UTC,11:35:00 UTC,67874.58,67817.75,-56.83,DOWN,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
182,2026-02-20T11:45:00.641449+00:00,btc-updown-5m-1771587600,"Bitcoin Up or Down - February 20, 6:40AM-6:45AM ET",11:40:00 UTC,11:45:00 UTC,67708.72,67450.78,-257.94,DOWN,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
183,2026-02-20T11:55:00.583467+00:00,btc-updown-5m-1771588200,"Bitcoin Up or Down - February 20, 6:50AM-6:55AM ET",11:50:00 UTC,11:55:00 UTC,67475.27,67503.26,27.99,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
184,2026-02-20T12:05:00.626698+00:00,btc-updown-5m-1771588800,"Bitcoin Up or Down - February 20, 7:00AM-7:05AM ET",12:00:00 UTC,12:05:00 UTC,67318.41,67393.33,74.92,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
