candle_num,timestamp,slug,title,candle_start,candle_end,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,pnl,pnl_pct,cumulative_pnl,balance,win_rate
39,2026-02-21T01:10:00.041093+00:00,btc-updown-5m-1771635900,"Bitcoin Up or Down - February 20, 8:05PM-8:10PM ET",01:05:00 UTC,01:10:00 UTC,67884.54,67908.81,24.27,UP,BUY_UP,UP,0.9700,3.00,True,0.0928,3.09,-3.7857,6.2143,83.3
40,2026-02-21T01:20:00.049639+00:00,btc-updown-5m-1771636500,"Bitcoin Up or Down - February 20, 8:15PM-8:20PM ET",01:15:00 UTC,01:20:00 UTC,67918.00,67872.81,-45.19,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-3.7857,6.2143,83.3
41,2026-02-21T01:30:00.032851+00:00,btc-updown-5m-1771637100,"Bitcoin Up or Down - February 20, 8:25PM-8:30PM ET",01:25:00 UTC,01:30:00 UTC,67869.97,67856.59,-13.38,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-3.7857,6.2143,83.3
42,2026-02-21T01:40:00.030547+00:00,btc-updown-5m-1771637700,"Bitcoin Up or Down - February 20, 8:35PM-8:40PM ET",01:35:00 UTC,01:40:00 UTC,67879.15,67985.99,106.84,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-3.7857,6.2143,83.3
43,2026-02-21T01:50:00.038331+00:00,btc-updown-5m-1771638300,"Bitcoin Up or Down - February 20, 8:45PM-8:50PM ET",01:45:00 UTC,01:50:00 UTC,67976.27,67994.48,18.21,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-3.7857,6.2143,83.3
44,2026-02-21T02:00:00.007679+00:00,btc-updown-5m-1771638900,"Bitcoin Up or Down - February 20, 8:55PM-9:00PM ET",01:55:00 UTC,02:00:00 UTC,67966.95,67951.25,-15.70,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-3.7857,6.2143,83.3
45,2026-02-21T02:10:00.011891+00:00,btc-updown-5m-1771639500,"Bitcoin Up or Down - February 20, 9:05PM-9:10PM ET",02:05:00 UTC,02:10:00 UTC,67933.99,67998.55,64.56,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-3.7857,6.2143,83.3
46,2026-02-21T02:20:00.018496+00:00,btc-updown-5m-1771640100,"Bitcoin Up or Down - February 20, 9:15PM-9:20PM ET",02:15:00 UTC,02:20:00 UTC,67989.01,67987.31,-1.70,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-3.7857,6.2143,83.3
47,2026-02-21T02:30:00.048592+00:00,btc-updown-5m-1771640700,"Bitcoin Up or Down - February 20, 9:25PM-9:30PM ET",02:25:00 UTC,02:30:00 UTC,68033.15,68055.21,22.06,UP,BUY_UP,UP,0.9700,3.00,True,0.0928,3.09,-3.6929,6.3071,85.7
48,2026-02-21T02:40:00.000571+00:00,btc-updown-5m-1771641300,"Bitcoin Up or Down - February 20, 9:35PM-9:40PM ET",02:35:00 UTC,02:40:00 UTC,68058.28,68074.47,16.19,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-3.6929,6.3071,85.7
49,2026-02-21T02:50:00.012777+00:00,btc-updown-5m-1771641900,"Bitcoin Up or Down - February 20, 9:45PM-9:50PM ET",02:45:00 UTC,02:50:00 UTC,68070.67,68003.95,-66.72,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-3.6929,6.3071,85.7
50,2026-02-21T03:00:00.021969+00:00,btc-updown-5m-1771642500,"Bitcoin Up or Down - February 20, 9:55PM-10:00PM ET",02:55:00 UTC,03:00:00 UTC,68008.50,68001.05,-7.45,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-3.6929,6.3071,85.7
51,2026-02-21T03:10:00.011940+00:00,btc-updown-5m-1771643100,"Bitcoin Up or Down - February 20, 10:05PM-10:10PM ET",03:05:00 UTC,03:10:00 UTC,67800.00,67704.20,-95.80,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-3.6929,6.3071,85.7
52,2026-02-21T03:20:00.048098+00:00,btc-updown-5m-1771643700,"Bitcoin Up or Down - February 20, 10:15PM-10:20PM ET",03:15:00 UTC,03:20:00 UTC,67761.42,67751.80,-9.62,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-3.6929,6.3071,85.7
53,2026-02-21T03:30:00.015705+00:00,btc-updown-5m-1771644300,"Bitcoin Up or Down - February 20, 10:25PM-10:30PM ET",03:25:00 UTC,03:30:00 UTC,67812.73,67800.29,-12.44,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-3.6929,6.3071,85.7
54,2026-02-21T03:40:00.010534+00:00,btc-updown-5m-1771644900,"Bitcoin Up or Down - February 20, 10:35PM-10:40PM ET",03:35:00 UTC,03:40:00 UTC,67797.70,67768.32,-29.38,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-3.6929,6.3071,85.7
55,2026-02-21T03:50:00.000422+00:00,btc-updown-5m-1771645500,"Bitcoin Up or Down - February 20, 10:45PM-10:50PM ET",03:45:00 UTC,03:50:00 UTC,67616.93,67634.71,17.78,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-3.6929,6.3071,85.7
56,2026-02-21T04:00:00.006980+00:00,btc-updown-5m-1771646100,"Bitcoin Up or Down - February 20, 10:55PM-11:00PM ET",03:55:00 UTC,04:00:00 UTC,67639.60,67667.77,28.17,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-3.6929,6.3071,85.7
57,2026-02-21T04:10:00.026936+00:00,btc-updown-5m-1771646700,"Bitcoin Up or Down - February 20, 11:05PM-11:10PM ET",04:05:00 UTC,04:10:00 UTC,67631.95,67686.17,54.22,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-3.6929,6.3071,85.7
58,2026-02-21T04:20:00.015493+00:00,btc-updown-5m-1771647300,"Bitcoin Up or Down - February 20, 11:15PM-11:20PM ET",04:15:00 UTC,04:20:00 UTC,67662.20,67623.76,-38.44,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-3.6929,6.3071,85.7
59,2026-02-21T04:30:00.020768+00:00,btc-updown-5m-1771647900,"Bitcoin Up or Down - February 20, 11:25PM-11:30PM ET",04:25:00 UTC,04:30:00 UTC,67672.59,67717.00,44.41,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-3.6929,6.3071,85.7
60,2026-02-21T04:40:00.020953+00:00,btc-updown-5m-1771648500,"Bitcoin Up or Down - February 20, 11:35PM-11:40PM ET",04:35:00 UTC,04:40:00 UTC,67714.00,67697.04,-16.96,DOWN,BUY_UP,UP,0.9500,3.00,False,-3.0000,-100.00,-6.6929,3.3071,75.0
64,2026-02-21T04:50:00.042397+00:00,btc-updown-5m-1771649100,"Bitcoin Up or Down - February 20, 11:45PM-11:50PM ET",04:45:00 UTC,04:50:00 UTC,67698.30,67716.66,18.36,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
68,2026-02-21T05:00:00.047830+00:00,btc-updown-5m-1771649700,"Bitcoin Up or Down - February 20, 11:55PM-12:00AM ET",04:55:00 UTC,05:00:00 UTC,67749.19,67816.97,67.78,UP,SKIP_EXPENSIVE,,0.9800,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
72,2026-02-21T05:10:00.013062+00:00,btc-updown-5m-1771650300,"Bitcoin Up or Down - February 21, 12:05AM-12:10AM ET",05:05:00 UTC,05:10:00 UTC,67845.23,67841.96,-3.27,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
76,2026-02-21T05:20:00.015003+00:00,btc-updown-5m-1771650900,"Bitcoin Up or Down - February 21, 12:15AM-12:20AM ET",05:15:00 UTC,05:20:00 UTC,67848.20,67855.04,6.84,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
80,2026-02-21T05:30:00.014826+00:00,btc-updown-5m-1771651500,"Bitcoin Up or Down - February 21, 12:25AM-12:30AM ET",05:25:00 UTC,05:30:00 UTC,67852.97,67860.94,7.97,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
84,2026-02-21T05:40:00.027362+00:00,btc-updown-5m-1771652100,"Bitcoin Up or Down - February 21, 12:35AM-12:40AM ET",05:35:00 UTC,05:40:00 UTC,67875.37,67825.35,-50.02,DOWN,SKIP_EXPENSIVE,,0.9800,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
88,2026-02-21T05:50:00.013791+00:00,btc-updown-5m-1771652700,"Bitcoin Up or Down - February 21, 12:45AM-12:50AM ET",05:45:00 UTC,05:50:00 UTC,67858.55,67823.27,-35.28,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
92,2026-02-21T06:00:00.025786+00:00,btc-updown-5m-1771653300,"Bitcoin Up or Down - February 21, 12:55AM-1:00AM ET",05:55:00 UTC,06:00:00 UTC,67867.86,67851.93,-15.93,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
96,2026-02-21T06:10:00.009944+00:00,btc-updown-5m-1771653900,"Bitcoin Up or Down - February 21, 1:05AM-1:10AM ET",06:05:00 UTC,06:10:00 UTC,67877.91,67867.80,-10.11,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
100,2026-02-21T06:20:00.040098+00:00,btc-updown-5m-1771654500,"Bitcoin Up or Down - February 21, 1:15AM-1:20AM ET",06:15:00 UTC,06:20:00 UTC,67917.32,67912.00,-5.32,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
104,2026-02-21T06:30:00.016471+00:00,btc-updown-5m-1771655100,"Bitcoin Up or Down - February 21, 1:25AM-1:30AM ET",06:25:00 UTC,06:30:00 UTC,67888.50,67873.26,-15.24,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
108,2026-02-21T06:40:00.004880+00:00,btc-updown-5m-1771655700,"Bitcoin Up or Down - February 21, 1:35AM-1:40AM ET",06:35:00 UTC,06:40:00 UTC,67812.99,67759.58,-53.41,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
112,2026-02-21T06:50:00.028855+00:00,btc-updown-5m-1771656300,"Bitcoin Up or Down - February 21, 1:45AM-1:50AM ET",06:45:00 UTC,06:50:00 UTC,67778.72,67750.98,-27.74,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
116,2026-02-21T07:00:00.039492+00:00,btc-updown-5m-1771656900,"Bitcoin Up or Down - February 21, 1:55AM-2:00AM ET",06:55:00 UTC,07:00:00 UTC,67778.83,67793.38,14.55,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
120,2026-02-21T07:10:00.003073+00:00,btc-updown-5m-1771657500,"Bitcoin Up or Down - February 21, 2:05AM-2:10AM ET",07:05:00 UTC,07:10:00 UTC,67762.33,67829.99,67.66,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
124,2026-02-21T07:20:00.007272+00:00,btc-updown-5m-1771658100,"Bitcoin Up or Down - February 21, 2:15AM-2:20AM ET",07:15:00 UTC,07:20:00 UTC,67825.45,67838.93,13.48,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
128,2026-02-21T07:30:00.049133+00:00,btc-updown-5m-1771658700,"Bitcoin Up or Down - February 21, 2:25AM-2:30AM ET",07:25:00 UTC,07:30:00 UTC,67850.02,67856.01,5.99,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
132,2026-02-21T07:40:00.004395+00:00,btc-updown-5m-1771659300,"Bitcoin Up or Down - February 21, 2:35AM-2:40AM ET",07:35:00 UTC,07:40:00 UTC,67866.20,67869.31,3.11,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
136,2026-02-21T07:50:00.022849+00:00,btc-updown-5m-1771659900,"Bitcoin Up or Down - February 21, 2:45AM-2:50AM ET",07:45:00 UTC,07:50:00 UTC,67834.07,67842.33,8.26,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
140,2026-02-21T08:00:00.032425+00:00,btc-updown-5m-1771660500,"Bitcoin Up or Down - February 21, 2:55AM-3:00AM ET",07:55:00 UTC,08:00:00 UTC,67845.77,67856.01,10.24,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
144,2026-02-21T08:10:00.018956+00:00,btc-updown-5m-1771661100,"Bitcoin Up or Down - February 21, 3:05AM-3:10AM ET",08:05:00 UTC,08:10:00 UTC,67861.69,67893.80,32.11,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
148,2026-02-21T08:20:00.032126+00:00,btc-updown-5m-1771661700,"Bitcoin Up or Down - February 21, 3:15AM-3:20AM ET",08:15:00 UTC,08:20:00 UTC,67910.49,67941.03,30.54,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
152,2026-02-21T08:30:00.024658+00:00,btc-updown-5m-1771662300,"Bitcoin Up or Down - February 21, 3:25AM-3:30AM ET",08:25:00 UTC,08:30:00 UTC,67964.01,67980.85,16.84,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
156,2026-02-21T08:40:00.034627+00:00,btc-updown-5m-1771662900,"Bitcoin Up or Down - February 21, 3:35AM-3:40AM ET",08:35:00 UTC,08:40:00 UTC,67988.94,67943.37,-45.57,DOWN,SKIP_EXPENSIVE,,0.9990,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
160,2026-02-21T08:50:00.014106+00:00,btc-updown-5m-1771663500,"Bitcoin Up or Down - February 21, 3:45AM-3:50AM ET",08:45:00 UTC,08:50:00 UTC,68000.02,67989.95,-10.07,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
164,2026-02-21T09:00:00.045342+00:00,btc-updown-5m-1771664100,"Bitcoin Up or Down - February 21, 3:55AM-4:00AM ET",08:55:00 UTC,09:00:00 UTC,68018.86,68055.03,36.17,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
168,2026-02-21T09:10:00.012642+00:00,btc-updown-5m-1771664700,"Bitcoin Up or Down - February 21, 4:05AM-4:10AM ET",09:05:00 UTC,09:10:00 UTC,68035.42,67978.90,-56.52,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
172,2026-02-21T09:20:00.005446+00:00,btc-updown-5m-1771665300,"Bitcoin Up or Down - February 21, 4:15AM-4:20AM ET",09:15:00 UTC,09:20:00 UTC,68000.27,68116.51,116.24,UP,SKIP_EXPENSIVE,,0.9990,0.00,False,0.0000,0.00,-6.6929,3.3071,75.0
